#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
CWISE  ;J004311.24-382225.0;  ;                     ; ;0      ;            ; ;   ;[T8.5]        ;0      ;:; 52.0000;       ; 392.50; 4.00;0     ; ; 624; 79;       ;0043-3822;CWISE J004311.24-382225.0   ;010.79619;-38.37363
2MASSW ;J0045214+163445    ;  ;                     ; ;109    ;L2{beta}    ; ;110;L2{gamma}     ;118,175; ; 65.0151; 0.2274; 362.10; 0.50;168   ; ;2059; 45;yng    ;0045+1634;2MASSW J0045214+163445      ;011.33923;+16.57909
WISE   ;J004542.56+361139.1;  ;                     ; ;8      ;            ; ;   ;T5            ;8      ; ; 57.0000; 3.7000; 185.70; 2.20;0     ; ;1021; 88;       ;0045+3611;WISE J004542.56+361139.1    ;011.42781;+36.19463
WISEP  ;J004701.06+680352.1;  ;                     ; ;182    ;L7({gamma}?); ;175;L6-8{gamma}   ;175    ; ; 82.3000; 1.8000; 432.00; 1.80;198   ; ;1230; 27;yng    ;0047+6803;WISEP J004701.06+680352.1   ;011.75161;+68.06510
WISEU  ;J004851.21+250814.9;  ;                     ; ;233    ;            ; ;   ;[T8.5]        ;233    ;:; 74.0000;       ;1231.00;17.80;0     ; ; 624; 79;       ;0048+2508;WISEU J004851.21+250814.9   ;012.21341;+25.13750
WISEPC ;J004928.48+044100.1;  ;                     ; ;4      ;            ; ;   ;L9            ;4      ; ; 62.6000; 2.9000; 388.30; 4.10;237   ; ;1256; 88;       ;0049+0441;WISEP J004928.48+044100.1   ;012.36778;+04.68266
WISE   ;J004945.61+215120.0;  ;                     ; ;8      ;            ; ;   ;T8.5          ;8      ; ;140.4000; 2.1000; 482.40; 1.40;0     ; ; 640; 88;       ;0049+2151;WISE J004945.61+215120.0    ;012.44203;+21.85567
2MASS  ;J00501994-3322402  ;  ;                     ; ;29     ;            ; ;   ;T7            ;61     ; ; 94.6000; 2.4000;1485.10; 2.10;67    ; ; 836; 71;       ;0050-3322;2MASS J00501994-3322402     ;012.58310;-33.37785
CFBDS  ;J005910.90-011401.3;  ;                     ; ;30     ;            ; ;   ;T8.5          ;10     ; ;103.2000; 2.1000; 885.80; 1.10;67    ; ; 566; 88;       ;0059-0114;CFBDS J005910.90-011401.3   ;014.79359;-01.23348
CWISEP ;J010527.69-783419.3;  ;                     ; ;232    ;            ; ;   ;[T9]          ;232    ; ; 87.2000; 4.4000; 331.50;12.30;0     ; ; 566; 79;       ;0105-7834;CWISEP J010527.69-783419.3  ;016.35995;-78.57153
SDSSp  ;J010752.33+004156.1;  ;                     ; ;122    ;L8          ; ;136;L6            ;124    ; ; 64.1300; 4.5100; 634.50; 7.10;68    ; ;1385; 89;       ;0107+0041;SDSSp J010752.33+004156.1   ;016.96842;+00.69900
WISE   ;J011154.36-505343.2;  ;                     ; ;184    ;            ; ;   ;T1.5          ;184    ; ; 57.3000; 4.7000; 498.60; 1.80;0     ; ;1239; 88;       ;0111-5053;WISE J011154.36-505343.2    ;017.97779;-50.89410
CWISE  ;J011952.82-450231.2;  ;                     ; ;0      ;            ; ;   ;T8            ;0      ;:; 59.1000;       ; 160.20;31.30;0     ; ; 686; 79;       ;0119-4502;CWISE J011952.82-450231.2   ;019.96982;-45.04189
2MASS  ;J01282664-5545343  ;  ;                     ; ;111    ;L2          ; ;112;L1            ;111    ; ; 54.0168; 0.2345; 258.70; 0.80;168   ; ;1955; 88;       ;0128-5545;2MASS J01282664-5545343     ;022.11102;-55.75951
CFBDS  ;J013302.27+023128.4;  ;                     ; ;5      ;            ; ;   ;T8.5          ;5      ; ; 53.1000; 2.6000; 617.00; 1.80;0     ; ; 661; 88;       ;0133+0231;CFBDS J013302+023128        ;023.26032;+02.52469
SIMP   ;J013656.57+093347.3;  ;                     ; ;186    ;T2          ; ;214;T2            ;124    ; ;162.1300; 0.5700;1237.90; 0.20;172   ; ;1051;198;yng    ;0136+0933;SIMP J013656.5+093347.3     ;024.23567;+09.56314
CWISE  ;J014308.73-703359.1;  ;                     ; ;0      ;            ; ;   ;[T7.5]        ;0      ;:; 51.3000;       ; 271.70;32.00;0     ; ; 751; 79;       ;0143-7033;CWISE J014308.73-703359.1   ;025.78576;-70.56672
2MASS  ;J01443536-0716142  ;  ;                     ; ;113    ;L5          ; ;113;L4.5          ;124    ; ; 79.0319; 0.6240; 431.60; 1.30;168   ; ;1628; 88;       ;0144-0716;2MASS J01443536-0716142     ;026.14753;-07.27064
WISE   ;J014656.66+423410.0;A ;                     ; ;2      ;            ; ;   ;T9            ;2      ; ; 51.7000; 2.0000; 452.80; 1.30;0     ; ; 566; 79;       ;0146+4234;WDS J01469+4234AB           ;026.73611;+42.56946
WISE   ;J014656.66+423410.0;B ;                     ; ;206    ;            ; ;   ;Y0            ;2      ; ; 51.7000; 2.0000; 452.80; 1.30;0     ; ; 460; 79;       ;0146+4234;WDS J01469+4234AB           ;026.73611;+42.56946
WISEPC ;J014807.25-720258.7;  ;                     ; ;4      ;            ; ;   ;T9.5          ;4      ; ; 91.7000; 3.4000;1269.30; 4.10;21,1  ; ; 526; 88;       ;0148-7202;WISEP J014807.25-720258.7   ;027.03023;-72.04965
CWISE  ;J014837.51-104805.6;  ;                     ; ;0      ;            ; ;   ;[T8.5]        ;0      ;:; 66.8000;       ; 252.90;11.40;0     ; ; 624; 79;       ;0148-1048;CWISE J014837.51-104805.6   ;027.15654;-10.80083
CWISE  ;J015349.89+613746.3;  ;                     ; ;0      ;            ; ;   ;[T0]          ;0      ;:; 52.4000;       ; 203.60; 9.20;0     ; ;1254; 79;       ;0153+6137;CWISE J015349.89+613746.3   ;028.45778;+61.62963
DENIS-P;J0205.4-1159       ;A ;                     ; ;138    ;            ; ;   ;[L5]          ;202    ; ; 53.6700; 1.1200; 432.30; 0.20;172   ; ;1613;134;       ;0205-1159;DENIS J020529.0-115925      ;031.37235;-11.99159
DENIS-P;J0205.4-1159       ;B ;                     ; ;203    ;            ; ;   ;[L8]          ;202    ; ; 53.6700; 1.1200; 432.30; 0.20;172   ; ;1335;134;       ;0205-1159;DENIS J020529.0-115925      ;031.37235;-11.99159
DENIS-P;J0205.4-1159       ;C:;                     ; ;202    ;            ; ;   ;[T0]          ;202    ; ; 53.6700; 1.1200; 432.30; 0.20;172   ; ;1254; 79;       ;0205-1159;DENIS J020529.0-115925      ;031.37235;-11.99159
WISEPA ;J020625.26+264023.6;  ;                     ; ;4      ;            ; ;   ;L9~pec~(red)  ;4      ; ; 52.1000; 1.4000; 444.70; 3.10;198   ; ;1281; 88;       ;0206+2640;WISEP J020625.26+264023.6   ;031.60388;+26.67326
2MASS  ;J02132062+3648506  ;C ;                     ; ;80     ;            ; ;   ;T3            ;80     ; ; 70.0180; 0.2041;  92.10; 0.60;168   ;a;1175; 88;       ;0213+3648;NAME 2MASS 0213+3648 C      ;033.33275;+36.81056
2MASSI ;J0213288+444445    ;  ;                     ; ;115    ;L1.5        ; ;115;              ;       ; ; 51.6812; 0.3832; 154.80; 0.70;168   ; ;2056; 88;       ;0213+4444;2MASSI J0213288+444445      ;033.36997;+44.74589
WISEPC ;J022322.39-293258.1;  ;                     ; ;4      ;            ; ;   ;T7.5          ;4      ; ; 80.7000; 2.6000; 946.10; 1.90;1     ; ; 706; 88;       ;0223-2932;WISEP J022322.39-293258.1   ;035.84318;-29.54923
WISEPA ;J022623.98-021142.8;A ;                     ; ;4      ;            ; ;   ;[T8]          ;1      ; ; 51.1000; 2.3000; 522.60; 2.30;237   ; ; 686; 79;       ;0226-0211;WISEP J022623.98-021142.8   ;036.59992;-02.19523
WISEPA ;J022623.98-021142.8;B ;                     ; ;1      ;            ; ;   ;[T9.5]        ;1      ; ; 51.1000; 2.3000; 522.60; 2.30;237   ; ; 511; 79;       ;0226-0211;WISEP J022623.98-021142.8   ;036.59992;-02.19523
CWISEP ;J023842.60-133210.7;  ;                     ; ;232    ;            ; ;   ;[>=Y1]        ;232    ;u; 85.8000;21.4000; 771.00;73.32;0     ; ; 367; 79;[55.6] ;0238-1332;CWISEP J023842.60-133210.7  ;039.67828;-13.53355
WISE   ;J024124.73-365328.0;  ;                     ; ;2      ;            ; ;   ;T7            ;2      ; ; 53.1000; 2.5000; 281.30; 1.50;0     ; ; 868; 88;       ;0241-3653;WISE J024124.73-365328.0    ;040.35307;-36.89113
2MASSI ;J0243137-245329    ;  ;                     ; ;32     ;T5.5        ; ;214;T6            ;61     ; ; 93.6200; 3.6300; 354.80; 4.10;68    ; ; 972; 83;       ;0243-2453;2MASSI J0243137-245329      ;040.80716;-24.89162
WISE   ;J024714.52+372523.5;  ;                     ; ;8      ;            ; ;   ;T8            ;8      ; ; 64.8000; 2.0000;  92.60; 1.80;237   ; ; 656; 88;       ;0247+3725;WISE J024714.52+372523.5    ;041.81053;+37.42321
2MASSI ;J0251148-035245    ;  ;                     ; ;115    ;L3          ; ;115;L1            ;109    ; ; 90.6200; 3.0200;2149.70; 0.90;169   ; ;1786; 88;       ;0251-0352;2MASSI J0251148-035245      ;042.81250;-03.88002
WISEPA ;J025409.45+022359.1;  ;                     ; ;4,33   ;            ; ;   ;T8            ;4      ; ;146.1000; 1.5000;2572.20; 0.10;1     ; ; 621; 73;       ;0254+0223;WISEP J025409.45+022359.1   ;043.53286;+02.39898
       ;J025503-470051     ;  ;DENIS-P J0255-4700   ; ;81     ;L8          ; ;103;L9            ;61     ; ;205.3266; 0.2545;1153.40; 0.60;168   ; ;1290; 78;       ;0255-4700;DENIS J0255.0-4700          ;043.76539;-47.01427
2MASS  ;J02572581-3105523  ;  ;                     ; ;103    ;L8          ; ;103;L6            ;124    ; ;102.3651; 0.6073; 712.50; 1.10;168   ; ;1311; 88;       ;0257-3105;2MASS J02572581-3105523     ;044.35765;-31.09783
WISEA  ;J030237.53-581740.3;  ;                     ; ;6      ;            ; ;   ;Y0:           ;6      ; ; 59.9000; 3.3000;  87.80; 5.00;0     ; ; 460; 79;       ;0302-5817;WISEA J030237.52-581740.3   ;045.65653;-58.29453
WISE   ;J030449.03-270508.3;  ;                     ; ;7      ;            ; ;   ;Y0~pec        ;7      ; ; 73.1000; 2.6000; 509.80; 3.20;0     ; ; 465; 88;       ;0304-2705;WISE J030449.03-270508.3    ;046.20429;-27.08564
WISEA  ;J030919.70-501614.2;A ;                     ; ;6      ;            ; ;   ;T7            ;236    ; ; 62.2000; 2.8000; 566.80; 1.90;0     ; ; 819; 79;       ;0309-5016;WISEA J030919.70-501614.2   ;047.33197;-50.27064
WISEA  ;J030919.70-501614.2;B:;                     ; ;1      ;            ; ;   ;[T7]          ;6      ; ; 62.2000; 2.8000; 566.80; 1.90;0     ; ; 819; 79;       ;0309-5016;WISEA J030919.70-501614.2   ;047.33197;-50.27064
2MASS  ;J03101401-2756452  ;  ;                     ; ;194    ;L5:         ; ;194;L6.5          ;106    ;:; 50.2000;       ; 132.80; 3.60;0     ; ;1465;134;       ;0310-2756;2MASS J03101401-2756452     ;047.55838;-27.94591
WISEPA ;J031325.96+780744.2;  ;                     ; ;4      ;            ; ;   ;T8.5          ;4      ; ;135.6000; 2.8000;  91.40; 1.40;0     ; ; 570; 88;       ;0313+7807;WISEP J031325.96+780744.2   ;048.35810;+78.12899
2MASS  ;J03140344+1603056  ;  ;                     ; ;117    ;L0          ; ;117;M9.4          ;106    ; ; 73.4296; 0.2757; 248.60; 0.50;168   ; ;2129; 88;       ;0314+1603;2MASS J03140344+1603056     ;048.51434;+16.05152
WISE   ;J031624.35+430709.1;  ;                     ; ;8      ;            ; ;   ;T8            ;8      ; ; 74.7000; 2.1000; 439.00; 1.30;0     ; ; 520; 88;       ;0316+4307;WISE J031624.35+430709.1    ;049.10146;+43.11921
2MASS  ;J03185403-3421292  ;  ;                     ; ;103    ;L7          ; ;103;L6.5          ;124    ; ; 74.1000; 4.6000; 398.10; 3.00;0     ; ;1344;107;       ;0318-3421;2MASS J03185403-3421292     ;049.72532;-34.35808
CWISEP ;J032109.59+693204.5;  ;                     ; ;232    ;            ; ;   ;[Y0.5]        ;232    ; ; 68.5000; 4.0000; 993.50;13.90;0     ; ; 412; 79;       ;0321+6932;CWISEP J032109.59+693204.5  ;050.27904;+69.53584
WISE   ;J032301.86+562558.0;  ;                     ; ;184    ;            ; ;   ;L7            ;194    ; ; 51.9000; 3.0000; 434.30; 2.70;0     ; ;1493; 88;       ;0323+5625;WISE J032301.86+562558.0    ;050.75622;+56.43374
WISEA  ;J032309.12-590751.0;  ;                     ; ;1      ;            ; ;   ;T7            ;236    ; ; 72.1000; 2.9000; 735.60; 2.10;0     ; ; 819; 79;       ;0323-5907;WISEA J032309.12-590751.0   ;050.78800;-59.13083
WISEPC ;J032337.53-602554.9;  ;                     ; ;4      ;            ; ;   ;T8.5          ;4      ; ; 71.7000; 2.3000; 543.00; 1.40;0     ; ; 617; 88;       ;0323-6025;WISEP J032337.53-602554.9   ;050.90639;-60.43181
WISE   ;J032517.69-385454.1;  ;                     ; ;8      ;            ; ;   ;T9            ;8      ; ; 60.2000; 3.5000; 308.40; 2.10;0     ; ; 556; 88;       ;0325-3854;WISE J032517.69-385454.1    ;051.32371;-38.91503
WISE   ;J032547.72+083118.2;  ;                     ; ;8      ;            ; ;   ;T7            ;8      ; ; 76.3000; 2.8000; 135.00; 2.00;0     ; ; 885; 88;       ;0325+0831;WISE J032547.72+083118.2    ;051.44884;+08.52173
2MASS  ;J03305326-0350280  ;  ;PSO J052.7214-03.8409; ;181    ;            ; ;   ;L9:           ;181    ; ; 59.2000; 3.3000; 147.20; 3.70;0     ; ;1197; 88;       ;0330-0350;2MASS J03305326-0350280     ;052.72192;-03.84112
WISE   ;J033515.01+431045.1;  ;                     ; ;8      ;            ; ;   ;T9            ;8      ; ; 84.8000; 1.7000;1142.30; 0.90;0     ; ; 495; 88;       ;0335+4310;WISE J033515.01+431045.1    ;053.81258;+43.17921
WISE   ;J033605.05-014350.4;  ;                     ; ;8      ;            ; ;   ;Y0            ;22     ; ; 99.8000; 2.1000;1241.80; 1.30;0     ; ; 460; 79;       ;0336-0143;WISE J033605.05-014350.4    ;054.02105;-01.73069
2MASS  ;J03400942-6724051  ;  ;                     ; ;120    ;            ; ;   ;L7::          ;120    ; ;107.1165; 0.6174; 598.00; 2.30;168   ; ;1267; 88;       ;0340-6724;2MASS J03400942-6724051     ;055.03896;-67.40123
2MASS  ;J03480772-6022270  ;  ;                     ; ;34     ;            ; ;   ;T7            ;61     ; ;120.1000; 1.8000; 817.80; 0.90;1     ; ; 823; 88;       ;0348-6022;2MASS J03480772-6022270     ;057.03217;-60.37418
